Date,Date.1,fear_greed,fg_ma7,fg_ma14,fg_change,fg_change7,fg_extreme_fear,fg_extreme_greed
1970-01-01 00:00:00.000004653,2023-04-15,68.0,64.71428571428571,63.642857142857146,0.0,7.0,0.0,0.0
1970-01-01 00:00:00.000004654,2023-04-16,68.0,65.71428571428571,64.0,0.0,7.0,0.0,0.0
1970-01-01 00:00:00.000004655,2023-04-17,69.0,66.71428571428571,64.42857142857143,1.0,7.0,0.0,0.0
1970-01-01 00:00:00.000004656,2023-04-18,58.0,65.28571428571429,64.14285714285714,-11.0,-10.0,0.0,0.0
1970-01-01 00:00:00.000004657,2023-04-19,63.0,65.0,64.21428571428571,5.0,-2.0,0.0,0.0
1970-01-01 00:00:00.000004658,2023-04-20,52.0,63.71428571428572,63.42857142857143,-11.0,-9.0,0.0,0.0
1970-01-01 00:00:00.000004659,2023-04-21,50.0,61.142857142857146,62.42857142857143,-2.0,-18.0,0.0,0.0
1970-01-01 00:00:00.000004660,2023-04-22,53.0,59.0,61.85714285714285,3.0,-15.0,0.0,0.0
1970-01-01 00:00:00.000004661,2023-04-23,56.0,57.285714285714285,61.5,3.0,-12.0,0.0,0.0
1970-01-01 00:00:00.000004662,2023-04-24,53.0,55.0,60.85714285714285,-3.0,-16.0,0.0,0.0
1970-01-01 00:00:00.000004663,2023-04-25,53.0,54.285714285714285,59.785714285714285,0.0,-5.0,0.0,0.0
1970-01-01 00:00:00.000004664,2023-04-26,56.0,53.285714285714285,59.142857142857146,3.0,-7.0,0.0,0.0
1970-01-01 00:00:00.000004665,2023-04-27,59.0,54.285714285714285,59.0,3.0,7.0,0.0,0.0
1970-01-01 00:00:00.000004666,2023-04-28,64.0,56.285714285714285,58.71428571428572,5.0,14.0,0.0,0.0
1970-01-01 00:00:00.000004667,2023-04-29,64.0,57.85714285714285,58.42857142857143,0.0,11.0,0.0,0.0
1970-01-01 00:00:00.000004668,2023-04-30,60.0,58.42857142857143,57.85714285714285,-4.0,4.0,0.0,0.0
1970-01-01 00:00:00.000004669,2023-05-01,63.0,59.85714285714285,57.42857142857143,3.0,10.0,0.0,0.0
1970-01-01 00:00:00.000004670,2023-05-02,55.0,60.142857142857146,57.21428571428572,-8.0,2.0,0.0,0.0
1970-01-01 00:00:00.000004671,2023-05-03,64.0,61.285714285714285,57.285714285714285,9.0,8.0,0.0,0.0
1970-01-01 00:00:00.000004672,2023-05-04,64.0,62.0,58.142857142857146,0.0,5.0,0.0,0.0
1970-01-01 00:00:00.000004673,2023-05-05,61.0,61.57142857142857,58.92857142857143,-3.0,-3.0,0.0,0.0
