date,open,high,low,price,volume,return,log_return,range,vol_7p,vol_24p,ma_24,ma_168,price_ma_ratio,tx_count,hashrate,fees_btc,mempool_size,miners_revenue,difficulty
2021-04-19 16:00:00+00:00,54581.82,56600.0,54351.67,55633.14,19594.304298,0.019197870778939752,0.0190159167234342,2248.3300000000017,0.033341784518614234,0.02262994501125476,60397.450000000004,55477.39374999999,0.9211173650543193,208413.0,113709865.62864962,215.81663228,71193262.71153846,47180246.47068432,23581981443664.0
2021-04-20 00:00:00+00:00,55633.14,55792.15,53329.96,54410.57,21865.661717,-0.021975570676039502,-0.022220630400430902,2462.1900000000023,0.03342956597148872,0.022726048781939533,60134.93166666667,55505.78803571428,0.9048080457063239,279977.0,150050131.96357888,301.8282274699999,69182154.46875,62004693.81146113,23581981443664.0
2021-04-20 08:00:00+00:00,54410.57,56455.93,54230.38,55323.19,26817.961651,0.01677284395293044,0.016633733173094235,2225.550000000003,0.026306296118919957,0.02306006023091697,59940.613333333335,55545.7949404762,0.9229666985945645,279977.0,150050131.96357888,301.8282274699999,73840254.6875,62004693.81146113,23581981443664.0
2021-04-20 16:00:00+00:00,55323.18,57076.24,55099.63,56425.0,24060.858783,0.019915879760368016,0.01972015307210578,1976.6100000000006,0.026928902521396965,0.02353488760716713,59797.488333333335,55590.64017857143,0.9436015052248711,279977.0,150050131.96357888,301.8282274699999,72487120.9375,62004693.81146113,23581981443664.0
2021-04-21 00:00:00+00:00,56425.0,56757.91,54968.69,55304.04,19389.85772,-0.019866371289322116,-0.020066360785907927,1789.2200000000012,0.027745638458680617,0.02331103832350822,59558.03208333333,55621.672738095236,0.9285739985938225,226021.0,118398932.25251147,255.76779686999998,74967458.96875,49225543.81325493,23581981443664.0
2021-04-21 08:00:00+00:00,55304.04,56346.7,54276.85,56153.75,24682.366163,0.015364338663142796,0.015247502432975372,2069.8499999999985,0.027060663089530965,0.022017057962117195,59258.94541666666,55659.376607142854,0.9475995498260534,226021.0,118398932.25251147,255.76779686999998,75792123.640625,49225543.81325493,23581981443664.0
2021-04-21 16:00:00+00:00,56149.93,56339.98,53536.02,53787.63,22912.533026,-0.0421364557131092,-0.043049949270440736,2803.9600000000064,0.025536019747905984,0.023204185056919794,58851.13833333333,55683.84940476191,0.9139607410029424,226021.0,118398932.25251147,255.76779686999998,73907710.171875,49225543.81325493,23581981443664.0
2021-04-22 00:00:00+00:00,53787.62,54850.0,52561.0,54144.99,31799.973933,0.006643906786746312,0.006621933310839081,2289.0,0.024221020633298663,0.023068863819601406,58428.479583333334,55706.164880952376,0.9266883270987049,274610.0,167634131.8030608,299.48661393,72847804.28125,64293952.906998485,23581981443664.0
2021-04-22 08:00:00+00:00,54146.01,55521.48,53080.0,54651.64,27907.539807,0.009357283102277902,0.009313774930347627,2441.480000000003,0.023132430062717552,0.02313782781804765,58078.755416666674,55728.79375,0.9409919273910059,274610.0,167634131.8030608,299.48661393,75505705.515625,64293952.906998485,23581981443664.0
2021-04-22 16:00:00+00:00,54651.63,55166.19,50500.0,51690.96,44949.117597,-0.054173671640960874,-0.055696312028237174,4666.190000000002,0.02963028023977967,0.025134988358589967,57609.23166666667,55756.27726190476,0.8972686929603498,274610.0,167634131.8030608,299.48661393,73836935.96875,64293952.906998485,23581981443664.0
