date,open,high,low,price,volume,return,log_return,range,vol_7p,vol_24p,ma_24,ma_168,price_ma_ratio,tx_count,hashrate,fees_btc,mempool_size,miners_revenue,difficulty,fg_score
2021-04-19 16:00:00+00:00,54581.82,56600.0,54351.67,55633.14,19594.304298,0.0191978707789397,0.0190159167234342,2248.3300000000017,0.0333417845186142,0.0226299450112547,60397.45,55477.39374999999,0.9211173650543192,208413.0,113709865.62864962,215.81663228,71193262.71153846,47180246.47068432,23581981443664.0,32.0
2021-04-20 00:00:00+00:00,55633.14,55792.15,53329.96,54410.57,21865.661717,-0.0219755706760395,-0.0222206304004309,2462.1900000000023,0.0334295659714887,0.0227260487819395,60134.93166666667,55505.78803571428,0.904808045706324,279977.0,150050131.96357888,301.8282274699999,69182154.46875,62004693.81146113,23581981443664.0,32.0
2021-04-20 08:00:00+00:00,54410.57,56455.93,54230.38,55323.19,26817.961651,0.0167728439529304,0.0166337331730942,2225.550000000003,0.0263062961189199,0.0230600602309169,59940.613333333335,55545.7949404762,0.9229666985945644,279977.0,150050131.96357888,301.8282274699999,73840254.6875,62004693.81146113,23581981443664.0,32.0
2021-04-20 16:00:00+00:00,55323.18,57076.24,55099.63,56425.0,24060.858783,0.019915879760368,0.0197201530721057,1976.6100000000008,0.0269289025213969,0.0235348876071671,59797.488333333335,55590.64017857143,0.9436015052248712,279977.0,150050131.96357888,301.8282274699999,72487120.9375,62004693.81146113,23581981443664.0,32.0
2021-04-21 00:00:00+00:00,56425.0,56757.91,54968.69,55304.04,19389.85772,-0.0198663712893221,-0.0200663607859079,1789.2200000000012,0.0277456384586806,0.0233110383235082,59558.03208333333,55621.67273809524,0.9285739985938224,226021.0,118398932.25251149,255.76779687,74967458.96875,49225543.81325493,23581981443664.0,32.0
2021-04-21 08:00:00+00:00,55304.04,56346.7,54276.85,56153.75,24682.366163,0.0153643386631427,0.0152475024329753,2069.8499999999985,0.0270606630895309,0.0220170579621171,59258.94541666666,55659.37660714285,0.9475995498260534,226021.0,118398932.25251149,255.76779687,75792123.640625,49225543.81325493,23581981443664.0,32.0
2021-04-21 16:00:00+00:00,56149.93,56339.98,53536.02,53787.63,22912.533026,-0.0421364557131092,-0.0430499492704407,2803.9600000000064,0.0255360197479059,0.0232041850569197,58851.13833333333,55683.84940476191,0.9139607410029424,226021.0,118398932.25251149,255.76779687,73907710.171875,49225543.81325493,23581981443664.0,32.0
2021-04-22 00:00:00+00:00,53787.62,54850.0,52561.0,54144.99,31799.973933,0.0066439067867463,0.006621933310839,2289.0,0.0242210206332986,0.0230688638196014,58428.47958333333,55706.164880952376,0.9266883270987047,274610.0,167634131.8030608,299.48661393,72847804.28125,64293952.906998485,23581981443664.0,32.0
2021-04-22 08:00:00+00:00,54146.01,55521.48,53080.0,54651.64,27907.539807,0.0093572831022779,0.0093137749303476,2441.480000000003,0.0231324300627175,0.0231378278180476,58078.755416666674,55728.79375,0.940991927391006,274610.0,167634131.8030608,299.48661393,75505705.515625,64293952.906998485,23581981443664.0,32.0
2021-04-22 16:00:00+00:00,54651.63,55166.19,50500.0,51690.96,44949.117597,-0.0541736716409608,-0.0556963120282371,4666.190000000002,0.0296302802397796,0.0251349883585899,57609.23166666667,55756.27726190476,0.8972686929603498,274610.0,167634131.8030608,299.48661393,73836935.96875,64293952.906998485,23581981443664.0,32.0
