Date,fear_greed,fg_ma7,fg_ma14,fg_change,fg_change7,fg_extreme_fear,fg_extreme_greed
2024-08-27,48,31.714285714285715,28.857142857142858,18.0,22.0,0,0
2024-08-28,30,28.571428571428573,27.785714285714285,1.0,3.0,0,0
2024-08-29,29,28.142857142857142,28.285714285714285,-5.0,0.0,0,0
2024-08-30,34,28.142857142857142,28.428571428571427,5.0,12.0,0,0
2024-08-31,29,26.428571428571427,28.285714285714285,3.0,6.0,0,0
2024-09-01,26,25.571428571428573,29.785714285714285,0.0,-3.0,0,0
2024-09-02,26,26.0,31.571428571428573,0.0,0.0,0,0
2024-09-03,26,26.0,32.5,-1.0,-7.0,0,0
2024-09-04,27,27.0,33.0,-2.0,-10.0,0,0
2024-09-05,29,28.428571428571427,34.285714285714285,7.0,-2.0,0,0
2024-09-06,22,28.714285714285715,35.714285714285715,-1.0,-10.0,1,0
2024-09-07,23,30.142857142857142,38.0,-6.0,-27.0,1,0
2024-09-08,29,34.0,40.214285714285715,3.0,-22.0,0,0
2024-09-09,26,37.142857142857146,41.857142857142854,-7.0,-13.0,0,0
2024-09-10,33,39.0,43.57142857142857,-4.0,0.0,0,0
2024-09-11,37,39.0,45.07142857142857,6.0,-8.0,0,0
2024-09-12,31,40.142857142857146,46.642857142857146,-1.0,-18.0,0,0
2024-09-13,32,42.714285714285715,48.0,-18.0,-22.0,0,0
2024-09-14,50,45.857142857142854,50.07142857142857,-1.0,-4.0,0,0
2024-09-15,51,46.42857142857143,51.07142857142857,12.0,-1.0,0,0
2024-09-16,39,46.57142857142857,51.92857142857143,6.0,-11.0,0,0
2024-09-17,33,48.142857142857146,53.5,-12.0,-21.0,0,0
2024-09-18,45,51.142857142857146,54.714285714285715,-4.0,-14.0,0,0
2024-09-19,49,53.142857142857146,54.5,-5.0,-1.0,0,0
2024-09-20,54,53.285714285714285,53.642857142857146,0.0,-7.0,0,0
2024-09-21,54,54.285714285714285,52.714285714285715,2.0,-10.0,0,0
2024-09-22,52,55.714285714285715,52.357142857142854,2.0,-11.0,0,0
2024-09-23,50,57.285714285714285,52.214285714285715,-4.0,-11.0,0,0
2024-09-24,54,58.857142857142854,52.214285714285715,-5.0,4.0,0,0
2024-09-25,59,58.285714285714285,51.857142857142854,9.0,17.0,0,0
2024-09-26,50,55.857142857142854,51.142857142857146,-11.0,13.0,0,0
2024-09-27,61,54.0,50.357142857142854,-3.0,20.0,0,0
2024-09-28,64,51.142857142857146,48.285714285714285,1.0,15.0,0,0
2024-09-29,63,49.0,47.214285714285715,2.0,13.0,0,0
2024-09-30,61,47.142857142857146,46.285714285714285,11.0,11.0,0,0
2024-10-01,50,45.57142857142857,45.357142857142854,8.0,1.0,0,0
2024-10-02,42,45.42857142857143,46.42857142857143,5.0,-7.0,0,0
2024-10-03,37,46.42857142857143,48.642857142857146,-4.0,-2.0,0,0
2024-10-04,41,46.714285714285715,51.07142857142857,-8.0,9.0,0,0
2024-10-05,49,45.42857142857143,53.357142857142854,-1.0,0.0,0,0
2024-10-06,50,45.42857142857143,55.0,0.0,0.0,0,0
2024-10-07,50,45.42857142857143,56.642857142857146,1.0,2.0,0,0
2024-10-08,49,45.142857142857146,58.214285714285715,0.0,-16.0,0,0
2024-10-09,49,47.42857142857143,59.714285714285715,10.0,-24.0,0,0
2024-10-10,39,50.857142857142854,61.285714285714285,7.0,-32.0,0,0
2024-10-11,32,55.42857142857143,63.42857142857143,-17.0,-41.0,0,0
2024-10-12,49,61.285714285714285,66.28571428571429,-1.0,-23.0,0,0
2024-10-13,50,64.57142857142857,68.07142857142857,2.0,-23.0,0,0
2024-10-14,48,67.85714285714286,69.64285714285714,-17.0,-24.0,0,0
2024-10-15,65,71.28571428571429,71.35714285714286,-8.0,-5.0,0,0
2024-10-16,73,72.0,72.21428571428571,2.0,2.0,0,0
2024-10-17,71,71.71428571428571,72.5,-2.0,2.0,0,0
2024-10-18,73,71.42857142857143,72.78571428571429,1.0,1.0,0,0
2024-10-19,72,71.28571428571429,72.71428571428571,-1.0,-2.0,0,0
2024-10-20,73,71.57142857142857,72.85714285714286,1.0,1.0,0,0
2024-10-21,72,71.42857142857143,72.64285714285714,2.0,0.0,0,0
2024-10-22,70,71.42857142857143,72.5,-1.0,-7.0,0,0
2024-10-23,71,72.42857142857143,72.5,2.0,-6.0,0,0
2024-10-24,69,73.28571428571429,72.92857142857143,-3.0,-6.0,0,0
2024-10-25,72,74.14285714285714,73.35714285714286,-2.0,0.0,0,0
2024-10-27,74,74.14285714285714,73.57142857142857,2.0,0.0,0,0
2024-10-28,72,74.14285714285714,73.85714285714286,0.0,2.0,0,0
2024-10-29,72,73.85714285714286,74.14285714285714,-5.0,2.0,0,0
2024-10-30,77,73.57142857142857,74.71428571428571,0.0,7.0,0,1
2024-10-31,77,72.57142857142857,75.21428571428571,2.0,0.0,0,1
2024-11-01,75,72.57142857142857,76.0,3.0,0.0,0,0
2024-11-02,72,72.57142857142857,76.35714285714286,-2.0,-3.0,0,0
2024-11-03,74,73.0,77.35714285714286,4.0,-4.0,0,0
2024-11-04,70,73.57142857142857,78.5,0.0,-6.0,0,0
2024-11-05,70,74.42857142857143,79.42857142857143,0.0,-10.0,0,0
2024-11-06,70,75.85714285714286,80.85714285714286,-7.0,-14.0,0,0
2024-11-07,77,77.85714285714286,81.78571428571429,2.0,-11.0,0,1
2024-11-08,75,79.42857142857143,82.14285714285714,0.0,-5.0,0,0
2024-11-09,75,80.14285714285714,83.5,-3.0,-11.0,0,0
2024-11-10,78,81.71428571428571,84.78571428571429,2.0,-12.0,0,1
2024-11-11,76,83.42857142857143,84.92857142857143,-4.0,-7.0,0,1
2024-11-12,80,84.42857142857143,85.35714285714286,-4.0,-10.0,0,1
2024-11-13,84,85.85714285714286,85.28571428571429,-4.0,1.0,0,1
2024-11-14,88,85.71428571428571,84.64285714285714,8.0,6.0,0,1
2024-11-15,80,84.85714285714286,83.85714285714286,-6.0,-14.0,0,1
2024-11-16,86,86.85714285714286,83.71428571428571,-4.0,-7.0,0,1
2024-11-17,90,87.85714285714286,83.57142857142857,7.0,10.0,0,1
2024-11-18,83,86.42857142857143,82.92857142857143,-7.0,1.0,0,1
2024-11-19,90,86.28571428571429,82.71428571428571,7.0,11.0,0,1
2024-11-20,83,84.71428571428571,81.71428571428571,1.0,8.0,0,1
2024-11-21,82,83.57142857142857,81.35714285714286,-12.0,5.0,0,1
2024-11-22,94,82.85714285714286,81.5,1.0,16.0,0,1
2024-11-23,93,80.57142857142857,79.92857142857143,13.0,9.0,0,1
2024-11-24,80,79.28571428571429,78.64285714285714,-2.0,-1.0,0,1
2024-11-25,82,79.42857142857143,78.57142857142857,3.0,2.0,0,1
2024-11-26,79,79.14285714285714,78.28571428571429,4.0,3.0,0,1
2024-11-27,75,78.71428571428571,78.21428571428571,-2.0,-3.0,0,0
2024-11-28,77,79.14285714285714,78.14285714285714,-1.0,-7.0,0,1
2024-11-29,78,80.14285714285714,78.57142857142857,-6.0,6.0,0,1
2024-11-30,84,79.28571428571429,78.42857142857143,3.0,9.0,0,1
2024-12-01,81,78.0,78.35714285714286,1.0,2.0,0,1
2024-12-02,80,77.71428571428571,78.28571428571429,4.0,2.0,0,1
2024-12-03,76,77.42857142857143,78.5,-2.0,-2.0,0,1
2024-12-04,78,77.71428571428571,79.28571428571429,-6.0,4.0,0,1
2024-12-05,84,77.14285714285714,79.5,12.0,1.0,0,1
2024-12-06,72,77.0,78.85714285714286,-3.0,-4.0,0,0
2024-12-07,75,77.57142857142857,79.0,-4.0,-8.0,0,0
2024-12-08,79,78.71428571428571,78.85714285714286,1.0,-1.0,0,1
2024-12-09,78,78.85714285714286,78.42857142857143,0.0,-5.0,0,1
2024-12-10,78,79.57142857142857,77.85714285714286,4.0,-9.0,0,1
2024-12-11,74,80.85714285714286,77.5,-9.0,-7.0,0,0
2024-12-12,83,81.85714285714286,77.42857142857143,7.0,8.0,0,1
2024-12-13,76,80.71428571428571,77.14285714285714,-7.0,2.0,0,1
2024-12-14,83,80.42857142857143,77.0,3.0,10.0,0,1
2024-12-15,80,79.0,76.21428571428571,-3.0,7.0,0,1
2024-12-16,83,78.0,75.71428571428571,-4.0,13.0,0,1
2024-12-17,87,76.14285714285714,74.42857142857143,6.0,14.0,0,1
2024-12-18,81,74.14285714285714,72.78571428571429,6.0,8.0,0,1
2024-12-19,75,73.0,71.71428571428571,1.0,-4.0,0,0
