date,RSI_14,RSI_21,return_14d,Stoch_K,FeeTotNtv,vol_60d,Stoch_D,fg_change7,target
2010-07-19,36.74417655281248,44.80952789875839,-0.2574257425742574,35.535398791251126,0.05,0.0622373546159826,34.5976601808351,50.0,0
2010-07-20,36.74417655281248,44.80952789875839,-0.2574257425742574,35.535398791251126,0.0,0.0622373546159826,34.5976601808351,50.0,1
2010-07-21,36.74417655281248,44.80952789875839,-0.2574257425742574,35.535398791251126,0.0,0.0622373546159826,34.5976601808351,50.0,0
2010-07-22,36.74417655281248,44.80952789875839,-0.2574257425742574,35.535398791251126,0.0,0.0622373546159826,34.5976601808351,50.0,1
2010-07-23,36.74417655281248,44.80952789875839,-0.2574257425742574,35.535398791251126,0.01,0.0622373546159826,34.5976601808351,50.0,0
2010-07-24,36.74417655281248,44.80952789875839,-0.2574257425742574,35.535398791251126,0.0,0.0622373546159826,34.5976601808351,50.0,0
2010-07-25,36.74417655281248,44.80952789875839,-0.2574257425742574,35.535398791251126,2.91,0.0622373546159826,34.5976601808351,50.0,1
2010-07-26,36.74417655281248,44.80952789875839,-0.2574257425742574,35.535398791251126,1.5,0.0622373546159826,34.5976601808351,50.0,1
2010-07-27,36.74417655281248,44.80952789875839,-0.2574257425742574,35.535398791251126,0.67,0.0622373546159826,34.5976601808351,50.0,1
2010-07-28,36.74417655281248,44.80952789875839,-0.2574257425742574,35.535398791251126,1.05,0.0622373546159826,34.5976601808351,50.0,1
2010-07-29,36.74417655281248,44.80952789875839,-0.2574257425742574,35.535398791251126,0.89,0.0622373546159826,34.5976601808351,50.0,0
2010-07-30,36.74417655281248,44.80952789875839,-0.2574257425742574,35.535398791251126,0.3,0.0622373546159826,34.5976601808351,50.0,1
2010-07-31,36.74417655281248,44.80952789875839,-0.2574257425742574,35.535398791251126,0.31,0.0622373546159826,34.5976601808351,50.0,0
2010-08-01,36.74417655281248,44.80952789875839,-0.2574257425742574,35.535398791251126,0.29,0.0622373546159826,34.5976601808351,50.0,0
2010-08-02,36.74417655281248,44.80952789875839,-0.2574257425742574,34.1115012298693,0.21,0.0622373546159826,34.5976601808351,50.0,1
2010-08-03,39.83233979249906,44.80952789875839,-0.1970085561255101,34.14608052138487,0.0,0.0622373546159826,34.5976601808351,50.0,0
