date,open,high,low,price,volume,return,vol_7d
2023-08-24,26432.71,26577.87,25864.0,26180.05,30205.22116,-0.009558985984038038,0.011162424477391492
2023-08-25,26180.05,26314.05,25777.15,26060.01,27753.33772,-0.0045851707693453925,0.007633067776136413
2023-08-26,26060.0,26125.77,25985.92,26017.37,10022.22322,-0.0016362234703670708,0.00761447001575878
2023-08-27,26017.38,26182.23,25966.11,26101.77,12099.64216,0.003243986613558514,0.007597574664860981
2023-08-28,26101.78,26253.99,25864.5,26120.0,22692.62655,0.0006984200688304742,0.0075552384438863215
2023-08-29,26120.0,28142.85,25922.0,27716.34,74251.99488,0.061115620214395205,0.02411749463431796
2023-08-30,27716.34,27768.57,27017.24,27299.99,35448.25848,-0.015021824670934159,0.02555785393707717
2023-08-31,27299.99,27587.51,25655.01,25940.78,51032.80401,-0.04978793032524931,0.03283602602407629
2023-09-01,25940.77,26156.0,25333.75,25805.05,41032.15056,-0.005232302189833948,0.03284919228167258
2023-09-02,25805.04,25987.5,25752.47,25869.51,16250.77698,0.002497960670488908,0.032871865770929785
2023-09-03,25869.52,26135.0,25800.0,25971.21,17474.47667,0.003931268895313478,0.03288543112698372
2023-09-04,25971.21,26108.02,25631.21,25826.02,21777.59609,-0.005590421085501895,0.032940837081202476
2023-09-05,25826.03,25915.49,25562.62,25792.1,21323.39337,-0.0013134040785224288,0.018601843730264318
2023-09-06,25792.11,26040.0,25372.51,25759.95,27262.52386,-0.0012465057129895651,0.018719425906172635
2023-09-07,25759.95,26443.14,25615.38,26255.0,27687.49567,0.01921781680476853,0.008479777807864682
2023-09-08,26255.0,26445.5,25647.26,25910.5,28999.76471,-0.01312131022662355,0.009958117965723573
2023-09-09,25910.5,25945.09,25796.64,25901.61,10980.62277,-0.0003431041469674767,0.009926909226050917
2023-09-10,25901.6,26033.66,25570.57,25841.61,18738.26914,-0.002316458320544501,0.00981779729784377
2023-09-11,25841.6,25900.69,24901.0,25162.52,41682.32,-0.026278935406888304,0.013836297108386696
2023-09-12,25162.53,26567.0,25131.48,25840.1,56434.38537,0.026928145511657675,0.018088146506973688
2023-09-13,25840.1,26405.22,25764.17,26222.0,31610.82753,0.01477935456906132,0.018842637091273602
2023-09-14,26222.0,26860.49,26126.77,26522.73,38333.1725,0.011468614140797806,0.017914915573448237
2023-09-15,26522.73,26888.0,26224.0,26600.0,26227.29369,0.0029133501717206745,0.01670492190738332
2023-09-16,26599.99,26777.0,26445.0,26559.67,13960.93351,-0.001516165413533943,0.01676012568887148
2023-09-17,26559.67,26623.25,26399.0,26527.51,12998.10277,-0.0012108584180451354,0.016698954096857416
2023-09-18,26527.5,27409.0,26377.35,26762.51,43000.43256,0.00885872816559119,0.010105653293891815
2023-09-19,26762.5,27483.57,26667.79,27210.26,36190.52187,0.016730493514995448,0.007460588336180141
2023-09-20,27210.25,27388.63,26800.0,27125.0,34207.21867,-0.0031333768953327734,0.007591281992388404
2023-09-21,27125.01,27159.6,26377.7,26568.08,34476.82662,-0.020531612903225693,0.011556872783309606
2023-09-22,26568.08,26743.38,26468.77,26580.14,18198.2292,0.00045392817245337724,0.011501487273657336
2023-09-23,26580.14,26632.81,26509.0,26575.96,9440.7026,-0.00015726027026197187,0.011484067777587825
2023-09-24,26575.97,26738.54,26122.08,26248.38,15706.65771,-0.012326177492741452,0.012432008413924002
2023-09-25,26248.39,26446.15,25990.46,26304.81,26266.2039,0.0021498469619840588,0.01174502643770835
2023-09-26,26304.8,26397.46,26088.34,26221.67,18495.35066,-0.0031606386816709353,0.00822266936559847
2023-09-27,26221.68,26850.0,26112.06,26372.99,34771.57978,0.005770799495226742,0.009230489321699288
2023-09-28,26373.0,27308.48,26342.4,27021.39,44517.83491,0.024585759900564774,0.011267227662994426
2023-09-29,27021.39,27244.89,26665.16,26906.96,28478.76219,-0.004234793250828317,0.011543301170539248
2023-09-30,26906.96,27094.99,26886.31,26962.56,12804.62307,0.002066379851161315,0.011510886436172874
2023-10-01,26962.57,28065.51,26954.09,27992.57,24602.81468,0.03820149125305594,0.015933732008859225
2023-10-02,27992.58,28580.0,27281.44,27494.51,57071.14241,-0.017792578530660186,0.018933922378918833
2023-10-03,27494.51,27676.52,27160.5,27426.46,28928.96555,-0.0024750395624435484,0.01887736387076393
2023-10-04,27426.45,27839.72,27202.0,27778.57,29816.142,0.012838332034101452,0.019014819497244435
