Date,Close,High,Low,Open,Volume,MVRV_proxy,exchange_net_flow_proxy,miner_revenue_proxy,Target_Direction
2020-01-01,7200.17431640625,7254.33056640625,7174.9443359375,7194.89208984375,18565664997,1.0,0.0,0.720017431640625,0
2020-01-02,6985.47021484375,7212.1552734375,6935.27001953125,7202.55126953125,20802083465,1.0,0.0,0.6985470214843751,1
2020-01-03,7344.88427734375,7413.71533203125,6914.99609375,6984.4287109375,28111481032,1.0,0.0,0.7344884277343751,1
2020-01-04,7410.65673828125,7427.3857421875,7309.51416015625,7345.37548828125,18444271275,1.0,0.0,0.741065673828125,1
2020-01-05,7411.3173828125,7544.4970703125,7400.53564453125,7410.45166015625,19725074095,1.0,0.0,0.74113173828125,1
2020-01-06,7769.21923828125,7781.8671875,7409.29296875,7410.4521484375,23276261598,1.0,0.0,0.7769219238281251,1
2020-01-07,8163.6923828125,8178.2158203125,7768.2275390625,7768.68212890625,28767291327,1.0,22527446827.0,0.8163692382812501,0
2020-01-08,8079.86279296875,8396.73828125,7956.7744140625,8161.935546875,31672559265,1.0,24399860293.857143,0.807986279296875,0
2020-01-09,7879.0712890625,8082.2958984375,7842.40380859375,8082.2958984375,24045990466,1.0,24863275579.714287,0.78790712890625,1
2020-01-10,8166.55419921875,8166.55419921875,7726.77490234375,7878.3076171875,28714583844,1.0,24949433124.285713,0.8166554199218751,0
2020-01-11,8037.53759765625,8218.359375,8029.64208984375,8162.19091796875,25521165085,1.0,25960417954.285713,0.803753759765625,1
2020-01-12,8192.494140625,8200.0634765625,8009.05908203125,8033.26171875,22903438381,1.0,26414469995.142857,0.8192494140625001,0
2020-01-13,8144.1943359375,8197.7880859375,8079.70068359375,8189.77197265625,22482910688,1.0,26301134150.857143,0.81441943359375,1
2020-01-14,8827.7646484375,8879.51171875,8140.93310546875,8140.93310546875,44841784107,1.0,28597490262.285713,0.88277646484375,0
2020-01-15,8807.0107421875,8890.1171875,8657.1875,8825.34375,40102834650,1.0,29801815317.285713,0.88070107421875,0
2020-01-16,8723.7861328125,8846.4609375,8612.095703125,8812.4814453125,31313981931,1.0,30840099812.285713,0.87237861328125,1
2020-01-17,8929.0380859375,8958.1220703125,8677.31640625,8725.2099609375,36372139320,1.0,31934036308.857143,0.8929038085937501,1
2020-01-18,8942.80859375,9012.1982421875,8827.33203125,8927.2119140625,32337772627,1.0,32907837386.285713,0.894280859375,0
2020-01-19,8706.2451171875,9164.3623046875,8620.080078125,8941.4453125,34217320471,1.0,34524106256.28571,0.87062451171875,0
2020-01-20,8657.642578125,8745.5908203125,8560.4736328125,8704.6318359375,26422375678,1.0,35086886969.14286,0.8657642578125,1
2020-01-21,8745.89453125,8755.7060546875,8544.5205078125,8658.9912109375,24097418512,1.0,32123406169.857143,0.874589453125,0
2020-01-22,8680.8759765625,8792.994140625,8636.7470703125,8744.2109375,22600204051,1.0,29623030370.0,0.86808759765625,0
2020-01-23,8406.515625,8687.7470703125,8333.6376953125,8680.650390625,25770680779,1.0,28831130205.42857,0.8406515625000001,1
2020-01-24,8445.4345703125,8514.6669921875,8266.8408203125,8405.5673828125,24397913026,1.0,27120526449.142857,0.84454345703125,0
2020-01-25,8367.84765625,8458.453125,8296.21875,8440.119140625,19647331549,1.0,25307606295.142857,0.836784765625,1
2020-01-26,8596.830078125,8602.4013671875,8325.498046875,8364.41015625,22177678796,1.0,23587657484.42857,0.8596830078125001,1
2020-01-27,8909.8193359375,8977.7265625,8597.30859375,8597.30859375,28647338393,1.0,23905509300.857143,0.89098193359375,1
2020-01-28,9358.58984375,9358.58984375,8908.447265625,8912.5244140625,34398744403,1.0,25377127285.285713,0.935858984375,0
2020-01-29,9316.6298828125,9406.431640625,9269.4677734375,9357.470703125,30682598115,1.0,26531755008.714287,0.93166298828125,1
2020-01-30,9508.9931640625,9553.1259765625,9230.8974609375,9316.0166015625,32378792851,1.0,27475771019.0,0.95089931640625,0
2020-01-31,9350.529296875,9521.7060546875,9230.7763671875,9508.3134765625,29432489719,1.0,28194996260.857143,0.9350529296875001,1
