date,open,high,low,price,volume,return,vol_7d,AdrActCnt,TxCnt,FeeTotNtv,HashRate,SplyCur,CapMVRVCur
2023-05-26,26473.8,26932.16,26327.24,26705.92,35061.18713,0.0087682949815646,0.016417660992154,963216.0,533103.0,98.62111763,376858753.0766216,19384530.70658218,1.323951129649
2023-05-27,26705.93,26895.0,26551.0,26854.27,15095.6867,0.0055549481163728,0.016198408868464,877266.0,469559.0,60.90225342,357153718.6596113,19385436.95657672,1.330559181986
2023-05-28,26854.28,28261.32,26764.36,28065.0,43916.00855,0.0450851950174031,0.0227005626468792,863880.0,499561.0,62.65696259,394100656.41805273,19386436.95657672,1.391560954233
2023-05-29,28065.01,28447.14,27524.6,27736.4,42385.41945,-0.011708533760912,0.0238073125887012,912071.0,548854.0,71.08123836,399026915.0223052,19387449.45657042,1.374801000798
2023-05-30,27736.39,28038.59,27554.0,27694.4,32686.75371,-0.0015142556351941,0.02355556644005,959148.0,511408.0,81.20036503,379321880.6052949,19388411.95657042,1.371662586882
2023-05-31,27694.39,27835.51,26839.01,27210.35,46588.80573,-0.0174782627534809,0.0202005473259161,925966.0,421021.0,69.18941323,350148490.60783935,19389293.20656496,1.347122513076
2023-06-01,27210.36,27350.0,26605.05,26817.93,39217.8088,-0.0144217182064911,0.0214636098394314,919298.0,351891.0,68.57090256,336187210.7165766,19390118.2065595,1.32755818548
2023-06-02,26817.93,27300.0,26505.0,27242.59,36380.90269,0.0158349283483103,0.0219924382245738,982760.0,485798.0,75.16251214,417687139.4758992,19391143.2045595,1.348499664123
2023-06-03,27242.59,27333.29,26914.93,27069.22,16595.34117,-0.0063639323573859,0.0222263544148239,873884.0,380045.0,44.31612452,331093464.71068186,19391955.70354857,1.339845350422
2023-06-04,27069.22,27455.02,26951.0,27115.21,19258.41049,0.0016989776580189,0.0114185875120179,879948.0,357474.0,37.20531165,376937175.09623784,19392880.70254856,1.343716524322
